event,gender,age_from,age_to,period_from,period_to,sample_size,median_improvement,mean_improvement,std_improvement,min_improvement,max_improvement,q25_improvement,q75_improvement,iqr_lower,iqr_upper,analysis_date,status
400 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,341,2.569999999999993,2.6368914956011724,4.47131670038565,-12.52000000000001,17.579999999999984,-0.21999999999999886,5.5,-0.21999999999999886,5.5,2025-11-01 11:05:26,Complete
400 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,291,0.29999999999998295,-0.41725085910652987,5.605471860512202,-23.51000000000002,15.97999999999999,-3.6200000000000045,3.2049999999999983,-3.6200000000000045,3.2049999999999983,2025-11-01 11:05:26,Complete
800 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,298,4.595000000000027,4.228355704697987,13.195712072296466,-38.32000000000005,38.129999999999995,-4.392499999999984,11.907499999999942,-4.392499999999984,11.907499999999942,2025-11-01 11:05:26,Complete
800 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,282,0.9549999999999841,0.9315957446808534,12.277306890148,-47.22000000000003,52.75,-5.450000000000017,8.562500000000028,-5.450000000000017,8.562500000000028,2025-11-01 11:05:26,Complete
800 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,184,0.1150000000000091,-2.757663043478262,16.087645694605406,-111.04999999999995,37.6400000000001,-10.502500000000026,6.372499999999988,-10.502500000000026,6.372499999999988,2025-11-01 11:05:26,Complete
800 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,305,9.950000000000045,10.153311475409835,12.257233816706336,-35.379999999999995,47.860000000000014,3.4600000000000364,16.360000000000014,3.4600000000000364,16.360000000000014,2025-11-01 11:05:27,Complete
800 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,327,3.699999999999932,3.993088685015293,11.578046501738374,-33.27000000000004,39.60999999999996,-3.5300000000000296,10.865000000000009,-3.5300000000000296,10.865000000000009,2025-11-01 11:05:27,Complete
800 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,238,-0.17500000000001137,-1.7605882352941167,13.100745523344262,-56.360000000000014,32.40999999999997,-9.270000000000039,6.297499999999999,-9.270000000000039,6.297499999999999,2025-11-01 11:05:27,Complete
1500 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,281,8.730000000000018,8.65391459074733,28.066312483469424,-79.20000000000005,76.52999999999997,-9.029999999999973,26.3599999999999,-9.029999999999973,26.3599999999999,2025-11-01 11:05:27,Complete
1500 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,255,4.350000000000136,3.0862352941176447,29.22412142196601,-127.68000000000006,88.80999999999995,-8.224999999999966,20.075000000000045,-8.224999999999966,20.075000000000045,2025-11-01 11:05:27,Complete
1500 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,139,2.5699999999999363,-0.4415107913669016,31.40961688670062,-91.70000000000005,109.24000000000001,-17.44500000000005,16.395000000000095,-17.44500000000005,16.395000000000095,2025-11-01 11:05:28,Complete
